[11/2/25, 11:08:50 PM] Dec’25.Basics.LMKHealth: ‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
[11/2/25, 11:08:50 PM] ~ PBW Foods: ‎~ PBW Foods created this group
[11/30/25, 11:09:51 PM] ‪+91 95380 83090‬: ‎~ PBW Foods added ‪+91 95380 83090‬
[11/30/25, 11:10:05 PM] ~ Suresh Venugopalan: ‎~ Suresh Venugopalan joined using a group link.
[11/30/25, 11:17:09 PM] ‪+65 8183 4057‬: ‎~ PBW Foods added ‪+65 8183 4057‬
[11/30/25, 11:21:01 PM] ~ renu jain: ‎~ PBW Foods added ~ renu jain
[11/30/25, 11:21:01 PM] ‪+91 74285 33769‬: ‎‪+91 74285 33769‬ joined using a group link.
[11/30/25, 11:23:09 PM] ~ नवीन (करो योग रहो निरोग): ‎~ PBW Foods added ~ नवीन (करो योग रहो निरोग)
[11/30/25, 11:24:18 PM] ~ Taveesh: ‎~ PBW Foods added ~ Taveesh
[11/30/25, 11:51:41 PM] ‪+1 (450) 570‑1857‬: ‎‪+1 (450) 570‑1857‬ joined using a group link.
[11/30/25, 11:54:47 PM] ‪+91 98203 99817‬: ‎~ PBW Foods added ‪+91 98203 99817‬
[11/30/25, 11:57:26 PM] ~ Manjit Walia: ‎~ PBW Foods added ~ Manjit Walia
[11/30/25, 11:58:27 PM] ~ Hiral: ‎~ PBW Foods added ~ Hiral
[11/30/25, 11:59:32 PM] ~ Sachin Shukla: ‎~ PBW Foods added ~ Sachin Shukla
[12/1/25, 12:00:59 AM] ~ 🌷🌹Thanvi: ‎~ PBW Foods added ~ 🌷🌹Thanvi
[12/1/25, 12:01:48 AM] ‪+91 98254 19819‬: ‎~ PBW Foods added ‪+91 98254 19819‬
[12/1/25, 12:02:40 AM] ‪+91 70421 44998‬: ‎~ PBW Foods added ‪+91 70421 44998‬
[12/1/25, 12:07:21 AM] ‪+91 99119 24910‬: ‎‪+91 99119 24910‬ joined using a group link.
[12/1/25, 12:09:32 AM] ‪+91 99271 18119‬: ‎‪+91 99271 18119‬ joined using a group link.
[12/1/25, 12:13:54 AM] ‪+91 99104 47274‬: ‎‪+91 99104 47274‬ joined using a group link.
[12/1/25, 12:33:58 AM] ‪+91 70870 80002‬: ‎‪+91 70870 80002‬ joined using a group link.
[12/1/25, 12:43:07 AM] ‪+91 98114 18383‬: ‎~ PBW Foods added ‪+91 98114 18383‬
[12/1/25, 12:46:25 AM] ~ mukh: ‎~ mukh joined using a group link.
[12/1/25, 1:08:03 AM] ‪+91 78380 71125‬: ‎‪+91 78380 71125‬ joined using a group link.
[12/1/25, 1:25:20 AM] ~ Mahesh Babu: ‎~ PBW Foods added ~ Mahesh Babu
[12/1/25, 1:25:44 AM] ~ Sanjay Gupta: ‎~ Sanjay Gupta joined using a group link.
[12/1/25, 1:32:57 AM] ‪+91 94140 59030‬: ‎~ Sanjay Gupta added ‪+91 94140 59030‬
[12/1/25, 1:35:59 AM] ‪+91 99343 00615‬: ‎~ PBW Foods added ‪+91 99343 00615‬
[12/1/25, 1:36:16 AM] ‪+91 97214 55363‬: ‎~ PBW Foods added ‪+91 97214 55363‬
[12/1/25, 1:40:18 AM] ‪+91 97411 99557‬: ‎~ PBW Foods added ‪+91 97411 99557‬
[12/1/25, 1:45:49 AM] ‪+91 99002 65081‬: ‎~ PBW Foods added ‪+91 99002 65081‬
[12/1/25, 1:46:01 AM] ~ Puneet: ‎~ PBW Foods added ~ Puneet
[12/1/25, 1:46:42 AM] ~ Vkdassani: ‎~ PBW Foods added ~ Vkdassani
[12/1/25, 1:47:52 AM] ~ Jaya Shah: ‎~ Jaya Shah joined using a group link.
[12/1/25, 1:59:19 AM] ‪+91 98991 28080‬: ‎~ PBW Foods added ‪+91 98991 28080‬
[12/1/25, 2:14:27 AM] ~ Tapan Patnaik: ‎~ PBW Foods added ~ Tapan Patnaik
[12/1/25, 2:17:32 AM] ~ Neelam Jethani: ‎~ Neelam Jethani joined using a group link.
[12/1/25, 2:29:40 AM] ~ Sriram: ‎~ PBW Foods added ~ Sriram
[12/1/25, 2:38:11 AM] ‪+91 80161 80233‬: ‎‪+91 80161 80233‬ joined using a group link.
[12/1/25, 3:13:20 AM] ‪+91 83104 89107‬: ‎‪+91 83104 89107‬ joined using a group link.
[12/1/25, 3:22:11 AM] ~ Sangeeta Saxena: ‎~ Sangeeta Saxena joined using a group link.
[12/1/25, 3:23:44 AM] ‪+91 89868 72842‬: ‎‪+91 89868 72842‬ joined using a group link.
[12/1/25, 3:24:10 AM] ‪+91 98102 86981‬: ‎‪+91 98102 86981‬ joined using a group link.
[12/1/25, 3:58:31 AM] ~ Dr. Vaibhav Verma: ‎~ Dr. Vaibhav Verma joined using a group link.
[12/1/25, 4:15:07 AM] ‪+91 76988 70011‬: ‎‪+91 76988 70011‬ joined using a group link.
[12/1/25, 5:05:30 AM] ‪+91 83692 04236‬: ‎‪+91 83692 04236‬ joined using a group link.
[12/1/25, 5:12:01 AM] ‪+971 50 235 8065‬: ‎‪+971 50 235 8065‬ joined using a group link.
[12/1/25, 6:39:32 AM] ~ Rita: ‎~ Rita joined using a group link.
[12/1/25, 6:55:37 AM] ~ Sanjay Sinha: ‎~ Sanjay Sinha joined using a group link.
[12/1/25, 8:30:12 AM] ~ Nishith Mohan: ‎~ Nishith Mohan joined using a group link.
[12/1/25, 8:54:56 AM] ~ Meenakshi Nigam: ••••   WELCOME   ••••

Welcome all to this health group! The purpose of this group is to empower you to take control of your health and, ideally, reduce or eliminate the need for medications used to manage lifestyle-related diseases. This will be achieved through education on a Plant-Based Whole Food (PBWF) diet, active living, Intermittent Fasting (IF), and a therapeutic fasting-based lifestyle.

Housekeeping Rules
1.Please avoid posting greeting messages.
2.Do not share forwarded content unless accompanied by your own detailed commentary.
3.Discussions must remain focused on chronic health issues.
4.Limit two-way conversations to one round only.
5. No solicitations are allowed.

My Introduction:
Many members may not know me, so let me introduce myself.

My name is Lalit M. Kapoor, and I live in the San Francisco Bay Area—specifically in Berkeley. I graduated from IIT Kanpur in 1971 and moved to UCLA in 1973 to complete my MBA. I’ve been living in the U.S. ever since.

After successfully selling the companies I started, I retired from business in 2005. Since then, I have pursued health and anti-aging research as a personal passion.

Twelve years ago, I watched the documentary Forks Over Knives, which deeply resonated with me. I was inspired to adopt the PBWF lifestyle recommended by several doctors featured in the film. Within 18 months, I lost 50 pounds and discontinued five prescription medications. Conditions I overcame include diabetes, hypertension, osteoarthritis, hypothyroidism, gout, sleep apnea, and seasonal allergies. I felt more energetic than I had in decades—even completing my first half-marathon.

In 2017, I created a WhatsApp group for my 1971 IITK batchmates to share my experience. Many reported similar results and successfully reduced or eliminated their medications. As the group grew through referrals, I went on to create over 600 health groups and have coached more than 300,000 members.

Based on that experience and continued learning and new research in the fields of nutrition and health, I’ve fine-tuned my recommendations. Many members now see improvement within just two weeks. Your progress will depend on your medical history and how consistently you follow the guidance. I made my changes at age 63; others have seen results even at 85. I’ll share their stories with you along the way.

I will be assisted by Meenakshi Nigam in posting regular content and coaching you through this journey. We will also share short videos and lectures by leading doctors and professors from institutions like UCSF, USC, and Cleveland Clinic. Most videos are 5–10 minutes, with a few longer talks. I strongly encourage you to watch them, as my posts will be brief and may not cover every detail. As they say, a picture is worth a thousand words; a video is worth a thousand pictures.

You’ll have the opportunity to ask questions, but based on experience, many early questions are answered in subsequent posts. For that reason, Q&A sessions will begin after the first two weeks and occur once per week. During this time, member posting will be paused and reopened periodically for questions.

During the first three weeks the focus will be on:
• What to eat and what not to eat
• When to eat and when not to eat
• How to cook and eat mindfully
• How to detoxify our body
• Physical activity
• Emotional Health
• Spiritual Health

During fourth week we will cover the political landscape of the food, pharmaceutical, and healthcare industries, and explore the influence of government and media.

Beginning this month the course has been split into two modules. The second module which focusses on Chronic diseases will be offered separately beginning November.  

As the course progresses, many members begin to see health improvements and share their stories. Most people who follow the guidance are able to discontinue some or most of their medications within months—especially those with hypertension, diabetes, and high cholesterol. While some conditions lack clear metrics, it is difficult to assess progress. Most members report feeling younger and more energetic. 

It is highly recommended that members of the group share the posts with their spouses and watch the videos and documentaries together. The enrollment in WhatsApp groups has now stopped, please don’t send any requests for adding members. I start a new group every month. 

Past participants report spending 45–60 minutes daily during the first month, reading posts and watching videos. At the end of the one month program, you will be invited to join a geographically organized group of alumni for continued activities and support.

While we waited for others to join, I recommended you watch Forks Over Knives. If you haven’t, please do so immediately. Also, watch its companion documentary Forks Over Knives: Extended Interviews. I will post a list of other documentaries soon.

If you are seriously ill or facing urgent medical decisions please consult your physician. 
Please do not contact me directly. All questions should be asked in the group. With many groups and thousands of members running in parallel—including repeat participants—I ask that everyone follow the group’s pace and not skip ahead.

Thank you.
————————————
        END OF POST
————————————
[12/1/25, 8:54:57 AM] ~ Meenakshi Nigam: MYTHS ABOUT DIET & HEALTH (1)

By definition, a myth is "a widely held but false belief or idea." Where do they originate? Most myths are historical and long-held beliefs debunked with scientific knowledge gained through the advancement of science. However, in the modern world of social media, many myths can be intentionally implanted and quickly spread. Sometimes, even in the presence of evidence to the contrary, some myths continue to be propagated by vested interests.

Myth: HUMANS EVOLVED AS HUNTERS
Humans evolved as primates about 65 million years ago. Then, around 7 million years ago, we separated from Chimpanzees to Homonins with large brains and smaller teeth and bipedality. Homosapiens evolved about 2 million years ago. As humans evolved, most lived in temperate climates where there was an abundance of fresh produce throughout the year. The control over fire was only achieved about 400 thousand years ago. Prior to that, cooking was not an option. The idea of consuming raw meat in the presence of fresh fruits and vegetables seems unimaginable. Once we controlled fire it is safe to assume people might have moved into the temperate climate zones of Western civilizations, where winters are cold, and food does not grow for 6 months in a year, so societies evolved out of necessity to become meat eaters.
Also, until we evolved into the Bronze Age, there were not any tools available for hunting. Can you imagine hunting a buffalo or even a goat or deer with stones? Early humans were more likely to be gatherers and scavengers as opposed to hunters. In addition, human physiology with long intestines and a small jaw and teeth structure suggests that we evolved eating plant-based diets.

FRESHWATER FISH
The only exception appears to be that of freshwater fish. As we moved from one place to another in search of food, we must have camped at places near freshwater. Fish were not so difficult to catch even in the Stone Age. Fish in its raw form is also not intolerable to our palate, as many  who eat Japanese Sushi would attest.

HUMAN SETTLEMENTS 
As humans started farming and domesticating animals, we must have started consuming animal milks, eggs, and meat. Eating a cooked masala omelet is much more palatable than raw eggs. The only food processing we were familiar with was peeling, chopping, grinding, mashing, shredding, etc. The concept of ultra-processed food really came into existence during the last century with industrialization. The necessity of feeding soldiers during the two World Wars led to the evolution of food processing and packaging industries. After the wars were over these food companies, with their excess capacities, started marketing more and more ultra-processed foods to the masses.

Myth: TAKE A PILL WHEN ILL
The belief that when you are sick, you should take medicine, and the disease will go away started with the discovery of antibiotics 100 years ago. At the time, most dreaded diseases we faced were infectious diseases like Cholera, Typhoid, Smallpox, Polio, etc. The discovery of the antibiotic Penicillin in 1928 worked like a charm for such diseases. Over the years that followed, we as a society got accustomed to the idea of taking a pill when ill.

POST WORLD WAR 2 ERA
In the late 1940s, after the World Wars were over, Western governments ensured that food was inexpensive and plentiful. People had suffered food shortages for three decades due to depression and wars. Food got subsidized and even the poor started eating like kings. Chronic diseases, which earlier only affected the rich, became common. With the “take a pill when ill” psyche, it was natural for us to expect miracle drugs from our doctors, and they, along with the pharmaceutical industry, were quick to oblige. However, this time, the drugs did not cure the diseases so the doctors came up with the new explanation that lifestyle diseases are not curable, and doctors can only help manage them by keeping the symptoms in check through lifelong medications.

DISENCHANTMENT AMONG DOCTORS
Some doctors, who entered the medical field with a sincere desire to help humanity by curing diseases, slowly became disenchanted and started looking for answers elsewhere. They observed that, just like the wild animals of today and our ancestors of 10,000 years ago, all mammal’s organisms were self-healing, and symptoms were a natural compensatory response of the body. In a sense, symptoms are the messengers giving us clues that everything is not alright. 


By taking medications to suppress the symptoms we are only interfering with the body’s self-healing mechanism.

ULTRA-PROCESSED FOOD
Another observation was that over the years, the profit motive of the food industry had changed the nature of food to refined and ultra-processed food-like products that bore little resemblance to food as we knew it. To increase shelf life fiber was removed and, to increase sales, taste was improved by adding sugar and oils. Experts with PhDs in psychology were deployed to make food taste addictive and non-satiating so people would eat more and buy more. These ultra-processed foods, in fact, were (a) increasing the toxicity of the body and (b) creating deficiencies of nutrients.
In addition, the use of inorganic fertilizers and single-crop farming depleted the soil of trace minerals. The produce, though sumptuous and beautiful looking, lacked nutrients, especially micronutrients. Damming rivers to generate hydropower did not help either. As minerals settle down upstream, in the lakes created by dams, it further depletes the soil of trace minerals. Processed and refined foods are not only deficient in nutrients but also full of preservatives. To reduce cost and increase profits, new inexpensive products like hydrogenated oils and high fructose corn syrups were developed. Deficiencies of nutrients reduce the body’s immunity making it more susceptible to diseases. The abundance of animal food, which was only available to kings and aristocrats earlier, was now available to the masses and caused havoc with their health.
Finally, this new breed of doctors started to speak out, but their voices were muffled by the powerful lobby of the food, drug, and healthcare industries and the government, eager to please lobbyists with deep pockets. The Plant-Based Whole Food (PBWF) movement is the outgrowth of these pioneering voices.

WHAT IS A PBWF DIET?
A Plant-Based Whole Food (PBWF) diet, as the name implies, consists of following:
- Only plant-based foods. No animal foods, no fish, eggs, or dairy. No butter or ghee.
- No Refined or ultra-processed foods. No sugar or vegetable oils or refined flours. Take corn for example: Corn on the cob, Corn Soup, Corn Starch and Corn Flour would be considered whole foods. Corn Flakes, Corn Oil  and High Fructose Corn Syrup would be considered Ultra-processed foods.

This concept of food as holistic medicine dates back to the period of Hippocrates who said, "let food be thy medicine." Hippocrates may have acquired this knowledge at Takshshila University of India: the world’s largest center of learning at the time. The latest research shows us that when you change your diet to plant based ehole food, your body begins to heal naturally and when your body heals, everything heals, including lifestyle diseases. This is the main theme of this blog as you will see in the weeks to come. 
—————————————
             END OF BLOG
—————————————
‎[12/1/25, 8:54:57 AM] ~ Meenakshi Nigam: ‎<attached: 00000347-PHOTO-2025-12-01-08-54-57.jpg>
[12/1/25, 9:18:16 AM] Dec’25.Basics.LMKHealth: ‎‪+91 95455 36345‬ added ‪+91 70300 88361‬ and ‪+91 98674 03743‬
[12/1/25, 9:38:59 AM] ‪+91 98401 15266‬: ‎‪+91 98401 15266‬ joined using a group link.
[12/1/25, 9:59:01 AM] ‪+1 (561) 860‑4141‬: ‎‪+1 (561) 860‑4141‬ joined using a group link.
[12/1/25, 10:00:16 AM] ‪+1 (561) 509‑4361‬: ‎‪+1 (561) 860‑4141‬ added ‪+1 (561) 509‑4361‬
[12/1/25, 10:02:41 AM] ‪+91 99451 34570‬: ‎‪+91 88619 82844‬ added ‪+91 99451 34570‬
[12/1/25, 12:42:19 PM] ‪+1 (561) 633‑2989‬: ‎‪+1 (561) 633‑2989‬ joined using a group link.
[12/1/25, 6:30:03 PM] ~ Subrahmanyam Vemavarapu v: ‎~ Subrahmanyam Vemavarapu v joined using a group link.
[12/1/25, 7:22:47 PM] ~ Mike Kumar: ‎~ Mike Kumar joined using a group link.
[12/1/25, 7:38:01 PM] ~ Meenakshi Nigam: New Year Resolutions That Are Bound to Fail

On January 1, many of you are likely to have made resolutions to join the gym and start working out in new year. Food, along with its timing (as in circadian rhythm) and its absence (as in fasting), is the 800-pound gorilla in the room, and we often fail to recognize it. Physical exercise accounts for only 10-15% of our health yet we are completely enamored by it. What is the reason for such a disconnect?

Myth: IT’S ALL YOUR FAULT (You Are Eating Too Much and Not Exercising Enough)
These words have been repeated by doctors and our elders often referred to as "gluttony and sloth." Have you ever wondered why all mammals in the wild world don't have this problem and we humans didn't have it until a century ago? Wild animals eat as much as they’d like  as often as they’d like. A deer doesn't need a dietitian to dictate its diet. The reason we struggle might be simple: we are eating the wrong foods. The ultraprocessed foods we consume are designed for overconsumption by PhDs in psychology, circumventing our satiation mechanism.

FLAWED NUTRITION SCIENCE
Nutrition science, as it has evolved over the past century, has gone in the wrong direction of reductionism. Looking at nutrition as individual nutrients and ensuring we get enough by supplementing them worsen the situation. This approach has led to a population where the number of sick people outweighs that of healthy people. Nutrients in food work like a symphony, and focusing on individual nutrients turns a harmonious body into chaos.

ULTRA PROCESSED FOOD
The profit motive of the food industry has resulted in an increasing amount of ultra-processed food that is both addictive and non-satiating, circumventing human satiation mechanisms. Additionally, calorie-dense and nutrient-poor food is prevalent. Soil depletion due to organized farming and damming of rivers has not helped either giving rise to a profitable supplements industry.

Our body is impacted not only by known nutrients but also by nutrients we have not yet discovered. Consuming natural foods provides us with a package of known and not-yet-known nutrients. Supplements, on the other hand, only offer the nutrients we know about. We are not overeating by choice; the problem lies in the food we consume. Someone profits from it, and we find ourselves captive to it.

Another fact, studied by Dr. Robert Lustig of UCSF, is that when insulin levels are high (common when overeating refined foods), our body wants to conserve energy and avoids physical activity. It's not our fault that we don't want to exercise; it's a result of ultra-processed foods. We are not the problem - the problem is ultra-processed food.

I will be debunking many such myths that lead us to failure and worsen our health in my course You will learn what I call the Five Pillars of Health, a blueprint for wellbeing that, when followed, can rejuvenate your health and make you feel years younger. 
—————————————
             END OF POST
—————————————
[12/1/25, 7:38:02 PM] ~ Meenakshi Nigam: MYTHS ABOUT DIET & HEALTH (2)

MYTH: EAT EVERYTHING IN MODERATION
These are “words of wisdom” often uttered by many respectable people including our elders and doctors. The problem with this advice is that when we consume everything in moderation, we also get diseases in moderation. This myth is so pervasive in our society that we have come to expect old age diseases as normal part of aging. What if we are wrong? In fact, we are wrong and it was proven 24 years ago when National Geographic commissioned a study with Dan Buettner, widely known as the Blue Zone Study.

Blue Zone Study
